	step01	frequency_step1
504	Béki István és Nyilas Atilla	1
505	Jana Kapelová	1
506	Takács Andrea fotóművész	2
507	art history)	2
508	Somoskői Gábor	2
509	Gulyás János	3
510	Vladimir Broniševský	2
511	Bereczky Loránd művészettörténész	1
512	Nikita	2
513	Dr. Kállai Mária kormánymegbízott	3
514	Benkő Imre	26
515	Madarász Györgyi	25
516	Sanna Härkönen	4
517	Simonyi Zsolt	3
518	Nguyen Lan Lilla	4
519	Szentesi Csaba	20
520	Moritz Schleime	2
521	Armando Lulaj	1
522	Marta Nadolle	1
523	Markovics Ferenc fotóművész	1
524	Izrael Állam nagykövete és Zsigmond Attila	2
525	Matykó Károly	1
526	Peter Aerschmann (Ch)	2
527	Anna Zvyagintseva / HudRada	1
528	Stefano David	1
529	Ester Hagenmaier	2
530	Sasvári Edit	68
531	Varró Dávid	2
532	Énzsöly Kinga	19
533	Meghívott kiállítók	2
534	Anne Van der Linden	1
535	valamint Haraszti Gina videóművész és a Lauder Javne Zsidó Közösségi Óvoda ó	2
536	Csabai Lászlóné	1
537	Baktay Patrícia	1
538	Garamvölgyi Gábor	10
539	Nagy Karolina (H)	2
540	Bude	3
541	Aydan Mürtezaoglu	3
542	Kőrösi Zoltán	2
543	Kiss László társkurátor	2
544	A Magnum fotográfusai	2
545	Kővári Kata	2
546	Czető	2
547	Áfrány Gábor-Tóth Zs. Szabolcs	2
548	Hajas Katinka	22
549	Peter Fischli	2
550	Nagy Dénes	16
551	Manon Bursian /D/	2
552	Barna Róbert író	1
553	Palkó	2
554	Tanya Ury	1
555	Szécsényi Mihály	1
556	Magya Képzőművészeti Egyetem Szobrász Tanszék	2
557	a székesfehérvári Vörösmarty Színház igazgatója	2
558	Nagymáté Eszter	4
559	Acapella Kórus	2
560	Gyermán Petra	2
561	Ulrich Gábor	4
562	Billy Wilder: Sabrina	1
563	Az Fkse mintegy 100 tagja	1
564	Alexander Schikowski (De/Hu)	2
565	Wendelien van Oldenborgh	6
566	Schild Tamás	2
567	Yin-Ju Chen	2
568	Schein Gábor író	2
569	Duba Andrea	1
570	Szíj Kamilla	91
571	Fliegauf Bence	5
572	Szentpéteri Márton	14
573	infopapa	2
574	Kisgyörgy Ilka	1
575	Papp Tibor iró	2
576	Malgot István	7
577	Fábián Zoltán képzőművész	2
578	Fáy Miklós kritikus	2
579	Bojtár B. Endre	2
580	Tőzsér Árpád	2
581	Lois Viktor	14
582	Gál Róbert	1
583	Ryan Trecartin	10
584	Sz.A.F – Szájjal És Aggyal Festők Világszövetsége	2
585	Jegenyés János	3
586	L Menyhért László	2
587	Matthias Reinhold	1
588	Kaszás Konrád	8
589	Dombrovszky Linda	1
590	Grayson Perry	2
591	Santa Diver	1
592	Naomi Devil	13
593	Małgorzata Szymankiewicz	2
594	Európai Roma Kulturális Alapítvány	2
595	Gulá	2
596	Szenderffy Gábor	4
597	Wesselényi-Garay Andor	2
598	12z_live act	2
599	Flavia Pitiº	2
600	Mahbub Nayeem (DocNomads-SZFE)	2
601	Székely Beáta	14
602	Balla Szabolcs	2
603	Budai Zsolt	2
604	Gerber Márton	1
605	Krista Mátyás	2
606	Ana Hoffner	1
607	Forgács Anett	1
608	Benoit Régent	3
609	Nada Prlja	1
610	Amalie Atkins	2
611	Molnár Ráhel	1
612	Jerger krisztina	2
613	Kaliczka Patrícia	46
614	Kirakat	2
615	Hegedüs Orsolya	4
616	Bajkó Péter-Filkey Áron	2
617	Mohos Irén	2
618	tanszékvezető egyetemi docens	4
619	Szabó Ádám B.	2
620	Ndk Zenekar	2
621	Davor Gromilović	2
622	Üvegművészek	1
623	Enikő Fodor	2
624	Eugen Gomringer	2
625	Timár Kataliin	1
626	Nicoletta Auersperg	2
627	Wágner Edina	2
628	Szalai Borbála művészettörténész	1
629	Waliczky Tamás videoművész	2
630	Mayer Hella	22
631	Zakar	1
632	iski Kocsis T.	2
633	HARASZTés#376; István	2
634	Farkas Boglárka	2
635	Breznai András	4
636	Bartis Attila író	3
637	Mikóczi Barbara	3
638	Hamvai Kinga	11
639	a Moholy-Nagy Művészeti Egyetem Média Intézetének igazgatója	2
640	György László	1
641	Szatmári Sára	6
642	Céline Struger	2
643	Vigh Krisztina	2
644	Racskó Juli	2
645	Szemethy Imre	1
646	San Francisco	2
647	Kurtág György műveit előadja: Kéringer László – ének	1
648	Vibrart projekt	2
649	Salam Haddad	2
650	Anikó Kiss & Emilia Jagica	2
651	Xxi. Esztergomi Fotóbiennálé	1
652	Bikácsi Daniela festőművész és Gálhidy Péter szobrászművész	2
653	Personal Press Project és a Fiatal Képzőművészek Stúdiója	2
654	Binaura csoport	1
655	Sarkadi-Nagy Balázs	2
656	Tóth G. Péter	2
657	Varga József Zsolt	13
658	Lorant Aniko - Ludmann Gyorgy - Erdei Zsuzsanna	2
659	Katarzyna Sitko	4
660	Emlékév 2005	1
661	előadó: Varró Attila filmkritikus	2
662	Béki István	10
663	Gerlinde Miesenböck	2
664	Gergely Mariann művészettörténész	1
665	Juhász Nóra textiltervező	2
666	a Dél-Afrikai Köztársaság nagykövet asszonya	2
667	A Hermina Alkotócsoport kiállítása	2
668	Paula Muhr Miklosevic	1
669	Andrea Kalinová	3
670	Shodo Ishida	2
671	Fodor Balázs	6
672	Ma Liu-ming (Ma Liuming)	2
673	Iputnpu / St.Turba Tamás	2
674	Peterdi Gábor	2
675	Dr. Zsámbéky Monika	14
676	Illes Anna	1
677	Marta Szymanska	2
678	Gajzágó Donáta Szigeti András	1
679	Dr Szabó Lilla művészettörténész	2
680	Vinkler Zsuzsa - Berényi Mariann	2
681	Bíró Botond	20
682	Perenyei Mónika	4
683	Zérczi Attila	3
684	Piotr Kmita	2
685	Barabás Lőrinc (trombita)	3
686	Kiss Gábor Miskolc Mjv alpolgármestere	4
687	Jaroslav Fragner Galéria	2
688	Kemenesi Zsuzsanna	9
689	Daradics Árpád ▪  Ázbej Kristóf	2
690	Új stúdiótagok	2
691	Debrecen polgármestere	4
692	David Kellner	3
693	Oleg Kulik	17
694	Magócsi Márton fotóriporter	2
695	Daya Cahen (Nl/Us)	2
696	Csizmadia Bendegúz	2
697	Hegedüs Éva	4
698	Pálinkás Bence	7
699	Marosi Miklós	4
700	Hevesi László	1
701	Bajor Gizi	2
702	Arláth Kirsztina	2
703	Cseh Fruzsina	4
704	Alain Fourgeaux	5
705	Cserhalmi Luca	2
706	házigazda: Erhardt Miklós	2
707	Csang Ta-li (Zhang Dali)	2
708	Lőrincz Zsuzsa	5
709	Smetana Ágnes üvegművész	1
710	Karvalits Ferenc	2
711	Szabó Dávid baleseti sebész	1
712	Dávid Demeter	2
713	és Szegő Dávid performansza	2
714	Török Tímea	2
715	Ilona	1
716	Paul Nadar	2
717	Vilim Katalin	2
718	Piller Mónika	1
719	Broussaud Gilles Fr	2
720	Grabanc Sound System	2
721	Hohner	4
722	Mán-Várhegyi Réka	4
723	Rókás László	1
724	Xii. Pécsi Nemzetközi Felnőtt-bábfesztivál (Bóbita	1
725	Marinos Milioni	2
726	Hans-Henning Paetzke	2
727	Clément Saccomani	2
728	Doris Halfmann	2
729	Auzor	2
730	Paszternák Zsolt	4
731	Jordán Tamás a Szombathelyi Weöres Sándor Színház igazgatója	2
732	Menyhárt Jenő	7
733	X-Menz Idiotronicárnai	2
734	Erőss István képzőművész	6
735	Szakolczay Lajos	4
736	Christoph Draeger [Ch]	2
737	Bózsa Evelin Nl	6
738	Nguyen Thi Thanh Tra	2
739	Butler	1
740	Maureen Haldeman	2
741	Végvári Zsófia	6
742	Bern Atom Santi	3
743	Gloria Oviedo Palotás	2
744	Tibor Uhrín	2
745	A megnyitó zártkörű. A kiállítás szeptember 11-től látható 13 órától.	1
746	Gáldi-Vinkó Andrea	2
747	Bernhard Resch	2
748	Karin Bachmann	2
749	Sigmar Polke	1
750	Bartalus Ildikó és Bartalus Sándor	2
751	Szilágyi Lenke	60
752	Sárközi Péter	4
753	Alke Schmidt	2
754	Jaakko Pallasvuo	2
755	Nikon1	2
756	Franco Cortese (I)	4
757	Artner Szilvia Sisso	2
758	Bartek Materka	1
759	Zene: Dj Naga (Tilos)	2
760	Hilla&Bernd Becher	2
761	Fáradt Angyalok	2
762	Asszonyi Tamás	8
763	Pier PaoloPasolini: Edipo re	1
764	Till Attila	4
765	Miriam Bäckström	2
766	az Artportal főszerkesztője	2
767	Lukács István	2
768	Vécsei Júlia	64
769	Christina Mackie	2
770	Rieder Gábor - művészettörténész	1
771	David Benforado	2
772	Lendvai Péter Gergely	2
773	HAász Ágnes Met	2
774	Diplomázók	1
775	Vittoria Mainoldi	2
776	slam poetry előadó	2
777	Mányoki Endre író	2
778	Mucsi Mesi	6
779	Drozdik Orsolya	36
780	Baky Péter festőművész / Művészetek Háza	2
781	Takács Lídia	2
782	Jan van Oordt (Ch)	2
783	Tallián Hedvig	2
784	Fekete Tibor	7
785	Tereza Stejskalová (Cz)	2
786	Horváth Hanna - ének & Fazekas Ábel - klarinétok & Dóra Attila - idea	2
787	Erdei Ildikó Virág	3
788	Massih Parsaei	2
789	Shakespeare s Helmet	2
790	Alf Slegers	2
791	Vincent Dupont-Blackshaw	2
792	Konstantinos Antonios Guotos	4
793	Gulyás Benedek	2
794	Balla Vivien	2
795	Kostyál László művészettörténész	2
796	Antal Regina	2
797	Bada Emőke Majohunbo	2
798	Bráda Enikő	1
799	Szegmens IV.koreai kortárs képzőművészek	2
800	Khalil Abou Hadid	3
801	a Gyik Műhely vezetője	2
802	Emil Abboud	3
803	Berta Julianna	6
804	Dubrovay László	4
805	Du¹ica Dra¾iæ	2
806	Csák Ferenc	4
807	a Mész elnöke és Ferencz István	2
808	Pásztor Péter	6
809	Ujj Zsuzsanna	2
810	Robbert van der Horst	3
811	Szoboszlai Lili	2
812	Molnár Judit Lilla  Molnár	2
813	Miklósvölgyi Zsolt esztéta	2
814	Kövessy Róbert	1
815	Nagy Stoica Georgeta	2
816	Josef Ehm	1
817	Kemény György	24
818	Bauer Hans Peter	1
819	A Magyar Elektrográfiai Társaság tagjai	2
820	Pasqualetti Eleonóra	3
821	Poka-Yio / Athens Biennále	1
822	Travelling Communiqué	1
823	Kim Leigh Pontin	2
824	Dukay Barnabás zeneszerző	2
825	Torma László	5
826	Kathrin Becker  a Neuer Berliner Kunstverein Video-Forum vezetője	2
827	Lovas Ilona	53
828	Török Virág	2
829	Dús László	8
830	Florence Jung	2
831	Előadó: Györffy Miklós irodalmár	1
832	43 látványötlet	2
833	Szolnok Mjv Polgármestere	2
834	NahTe Vető János	1
835	Miklos P. Simon	1
836	Michal Kezman	2
837	Lorenzo Armendáriz	1
838	Moderátor: Erhardt Miklós	1
839	Kibédi Varga Lóránt	1
840	Temesi Péter	4
841	Johanna Binder	1
842	Menü Pont Galéria	1
843	Staharoczky Júlia	2
844	Pándi Balázs  Masami Akita	2
845	Csányi Gergely	2
846	Wahorn	5
847	Woody Allen:  Manhattan	1
848	Mészáros Márta	6
849	Frame	2
850	Lakatos Renáta	4
851	Kettős Tamás	2
852	Belicza László Gábor	6
853	Borisz Orlov	2
854	Alscher Bettina	1
855	Miriam Laussegger [A]	2
856	Pop Iván	1
857	Belgium Nagykövete	2
858	Festő szak:  Boda Melinda  Czimbalmos Kozma Andrea	2
859	Prof. Katrin von Maltzahn és Ingo Duderstedt	4
860	Horváth Lóczi Judit	30
861	Vers	1
862	Oswin Hochstöger	2
863	Katona Zoltán	30
864	Ybl díjas építész	3
865	Sebastião Salgado Genesis című kiállításához kapcsolódó program	6
866	Helge Reumann	2
867	Marczin I. Bence	2
868	Zaid S. Sethi	6
869	Bodó Sándor	22
870	Ablonczy Balázs	3
